id,inning,leftfast_bowlers,leftfastmedium_bowlers,leftmediumfast_bowlers,leftmedium_bowlers,leftorthodox_bowlers,leftlegbreak_bowlers,leftmystery_bowlers,rightfast_bowlers,rightfastmedium_bowlers,rightmediumfast_bowlers,rightmedium_bowlers,rightorthodox_bowlers,rightlegbreak_bowlers,rightmystery_bowlers,batsman_hand,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed
1304107,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,39,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,156,8,0,0,0,0,0,0,0,0,0,231,136,4,0,0,0,40,19,0,1049,604,29
1304112,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,41,4,0,0,0,0,0,0,0,0,0,230,136,7,119,77,2,0,0,0,241,119,6,0,0,0,0,0,0,986,605,35
1304116,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,1,36,26,0,15,8,0,23,21,2,0,0,0,0,0,0,0,0,0,0,0,0,148,124,5
1304107,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,62,2,0,0,0,0,0,0,0,0,0,68,56,1,0,0,0,379,276,8
1304107,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,117,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,167,5,0,0,0,0,0,0,0,0,0,402,354,12,0,0,0,95,77,3,2096,1733,64
1304065,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,164,154,8,0,0,0,0,0,0,119,88,1,0,0,0,0,0,0,0,0,0,346,284,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,1732,63
1304115,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,49,2,0,0,0,0,0,0,22,10,2,0,0,0,0,0,0,0,0,0,539,458,27
1304101,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0,596,461,29
1304116,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,37,32,1,0,0,0,0,0,0,0,0,0,0,0,0,25,23,2,39,28,1,66,49,2,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,268,196,9
1304107,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,89,1,0,0,0,0,0,0,0,0,0,68,39,2,0,0,0,399,315,19
1304094,1,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,36,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,14,0,0,0,0,21,27,0,0,0,0,0,0,0,76,63,1
1304097,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,20,13,0,0,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,69,55,3
1304079,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37,3
1304115,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,12,10,0,15,10,0,26,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,79,4
1312200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,131,7,43,49,3,0,0,0,884,737,31
1312199,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,76,1,0,0,0,50,54,1,0,0,0,3,6,1,376,320,13
1304113,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,55,2,0,0,0,0,0,0,160,120,6,0,0,0,276,188,11,0,0,0,48,52,2,1011,778,37
1312200,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,75,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,146,3,0,0,0,186,162,5,0,0,0,0,0,0,99,76,4,0,0,0,1444,1059,27
1304115,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,129,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,320,7,3042,2256,70
1304104,2,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,172,119,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,248,10,0,0,0,346,215,4,0,0,0,0,0,0,163,138,3,0,0,0,2839,2052,65
1304114,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,56,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,1,0,0,0,196,139,5
1312199,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,128,111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,153,7,0,0,0,274,218,5,0,0,0,0,0,0,92,90,2,0,0,0,1777,1378,46
1304113,2,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,176,128,1,0,0,0,0,0,0,0,0,0,0,0,0,233,163,3,187,156,8,238,163,5,0,0,0,0,0,0,305,258,10,64,78,5,0,0,0,1626,1298,46
1312199,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,87,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,125,10,0,0,0,0,0,0,139,106,5,0,0,0,1295,892,51
1304113,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,26,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,76,5,0,0,0,0,0,0,0,0,0,122,89,5,115,74,1,0,0,0,1024,678,36
1178424,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,2
1178421,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,28,29,3
1304113,1,0,0,0,0,2,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,1,0,0,0,0,0,0,70,62,1,0,0,0,242,155,11,0,0,0,24,30,0,1199,843,36
1312200,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,77,5,0,0,0,151,115,6,0,0,0,0,0,0,74,43,0,0,0,0,764,557,27
1304097,1,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,45,1,0,0,0,0,0,0,127,95,6,130,117,6,139,76,8,0,0,0,0,0,0,106,97,4,0,0,0,1011,785,35
1304115,2,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,40,47,3,9,10,2,0,0,0,0,0,0,0,0,0,67,43,0,185,120,4,38,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,659,27
1312200,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,122,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,134,5,313,195,8,0,0,0,0,0,0,229,175,7,116,114,4,0,0,0,1395,1031,34
1312199,2,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,108,3,0,0,0,298,198,8,159,107,4,0,0,0,238,160,4,0,0,0,48,31,0,1436,922,34
